,rota,atributo 1,atributo 2,correlação,correlação absoluta
218,adc,totalDamageDealt,visionScore,0.3652716425667006,0.3652716425667006
1139,top,deaths,totalDamageTaken,0.36269703526410135,0.36269703526410135
717,mid,physicalDamageDealt,trueDamageDealt,-0.36262475462793053,0.36262475462793053
732,mid,physicalDamageDealtToChampions,trueDamageDealtToChampions,0.36198591311296624,0.36198591311296624
825,mid,visionScore,visionWardsBoughtInGame,0.361180972402938,0.361180972402938
988,jg,physicalDamageDealt,totalDamageDealtToChampions,0.3606413811013821,0.3606413811013821
658,mid,magicDamageDealt,neutralMinionsKilled,0.3604386283290644,0.3604386283290644
1316,top,totalDamageDealt,totalHeal,0.3603142574510793,0.3603142574510793
1185,top,kills,trueDamageDealtToChampions,0.3585148893534442,0.3585148893534442
334,sup,goldEarned,totalMinionsKilled,0.3581089716992446,0.3581089716992446
1327,top,totalDamageDealtToChampions,totalMinionsKilled,0.3535820280821744,0.3535820280821744
303,sup,deaths,magicalDamageTaken,0.3502856448938731,0.3502856448938731
37,adc,deaths,totalMinionsKilled,-0.349481402813671,0.349481402813671
1293,top,physicalDamageTaken,totalHeal,0.3484563072108489,0.3484563072108489
731,mid,physicalDamageDealtToChampions,trueDamageDealt,-0.34473994554932436,0.34473994554932436
252,adc,totalMinionsKilled,visionScore,0.34324510923196183,0.34324510923196183
1325,top,totalDamageDealtToChampions,totalDamageTaken,0.34216627949148026,0.34216627949148026
978,jg,neutralMinionsKilled,trueDamageDealt,-0.34120308975444724,0.34120308975444724
1298,top,physicalDamageTaken,trueDamageTaken,0.3388120348153555,0.3388120348153555
1330,top,totalDamageDealtToChampions,trueDamageDealtToChampions,0.3382315195149163,0.3382315195149163
418,sup,neutralMinionsKilled,physicalDamageTaken,0.3355000917746109,0.3355000917746109
117,adc,magicDamageDealt,trueDamageDealt,0.33537592204760985,0.33537592204760985
420,sup,neutralMinionsKilled,totalDamageDealt,0.33505901847730646,0.33505901847730646
1356,top,totalMinionsKilled,visionScore,0.3342568095123979,0.3342568095123979
447,sup,physicalDamageDealtToChampions,physicalDamageTaken,0.33385026538130536,0.33385026538130536
959,jg,magicalDamageTaken,totalHeal,0.3337979761494069,0.3337979761494069
425,sup,neutralMinionsKilled,totalTimeCrowdControlDealt,0.3328393349186535,0.3328393349186535
145,adc,neutralMinionsKilled,totalDamageDealtToChampions,0.33103929580942165,0.33103929580942165
458,sup,physicalDamageDealtToChampions,visionScore,-0.3305448810019481,0.3305448810019481
440,sup,physicalDamageDealt,totalTimeCrowdControlDealt,0.33041422419067323,0.33041422419067323
433,sup,physicalDamageDealt,physicalDamageTaken,0.33008305286094425,0.33008305286094425
226,adc,totalDamageDealtToChampions,trueDamageDealtToChampions,0.329582341517585,0.329582341517585
525,sup,totalMinionsKilled,trueDamageDealt,0.3288759979385048,0.3288759979385048
696,mid,neutralMinionsKilled,totalDamageDealt,0.3285327625419472,0.3285327625419472
201,adc,timeCCingOthers,totalHeal,0.3284052372656407,0.3284052372656407
